miou,fmiou,macc,scene
0.12099179541278243,0.3180988617044748,0.18835538405218055,apt_0
0.1274112799233266,0.39652946457627375,0.20874098934487495,apt_3
0.22079226605620073,0.4868646320064291,0.4041514923502514,v3_sc0_staging_00
0.3111454138238337,0.6002643064025784,0.5132564043564277,v3_sc0_staging_12
0.21470212525597096,0.450912492487115,0.37121743579928507,v3_sc0_staging_16
0.23389132321650624,0.47377104090606803,0.38677711197406106,v3_sc0_staging_19
0.22268411079109446,0.5812286556134123,0.3222645790551896,v3_sc0_staging_20
0.3579717105448779,0.5753405070373769,0.5725909201112601,v3_sc1_staging_00
0.2959883377959532,0.568873137488788,0.4864678908373405,v3_sc1_staging_06
0.2570777352971367,0.5597172358859829,0.43317205574602463,v3_sc1_staging_12
0.2716836807347898,0.4582595982336511,0.4575604618616255,v3_sc1_staging_19
0.20357745538368652,0.3402161645606684,0.36834116250081017,v3_sc1_staging_20
0.22142540433862107,0.38737654961830853,0.36198288602464684,v3_sc2_staging_00
0.3028492156672689,0.5977866068615708,0.48003914286563426,v3_sc2_staging_11
0.26001589238901596,0.44400606952682387,0.4317749086042461,v3_sc2_staging_13
0.2511208619371971,0.44886885076583827,0.42250851069551026,v3_sc2_staging_19
0.3154609368681585,0.6150810649851517,0.5191472549998047,v3_sc2_staging_20
0.21437504592612422,0.470198706097436,0.37542393505278526,v3_sc3_staging_03
0.22521975392818297,0.5146794960802373,0.4190663921268163,v3_sc3_staging_04
0.2804752673444358,0.5573839669620969,0.4556572145166444,v3_sc3_staging_08
0.2965265799064913,0.5397272224204849,0.45431736213252094,v3_sc3_staging_15
0.22213582664589498,0.4129477435506666,0.39920727734469474,v3_sc3_staging_20
0.24670554632670677,0.49082419880779254,0.41054639874330157,overall_mean
0.12670806669235768,0.47087239989082724,0.22155545673554905,overall
