miou,fmiou,macc,scene
0.1170969322402297,0.1284915716948132,0.18488754027911405,00800-TEEsavR23oF
0.130362471484657,0.48357386879160413,0.19972803806629677,00802-wcojb4TFT35
0.07217146452953138,0.16212382235194023,0.13971582550389056,00803-k1cupFYWXJ6
0.08622924758608043,0.19995414311911625,0.15098683658411655,00808-y9hTuugGdiq
0.09890515493977389,0.18190135398392823,0.16334595663681958,00810-CrMo8WxCyVb
0.08499258366304561,0.3125948472044159,0.14396289888425587,00813-svBbv1Pavdk
0.18033387673745813,0.32851632697645283,0.29820802715571315,00814-p53SfW6mjZe
0.06630865346330224,0.11971393845487713,0.17050749030640922,00815-h1zeeAwLh9Z
0.1045500480805098,0.2396087340721435,0.18141782667707695,overall_mean
0.13728413882653814,0.20205532801796336,0.2528133825877185,overall
