miou,fmiou,macc,scene
0.13934150816898663,0.14356292212479807,0.24683371924483094,apt_0
0.12027330576369895,0.36630007541120235,0.20935510460160578,apt_3
0.25636673823398104,0.4529836798768293,0.3623880934574305,v3_sc0_staging_00
0.2090043825543916,0.3423425400168047,0.37894584534032605,v3_sc0_staging_12
0.21966698089506723,0.344561053636283,0.4359723935211844,v3_sc0_staging_16
0.26989498880505997,0.5219630247934063,0.4393731688665954,v3_sc0_staging_19
0.3253610144710862,0.5764588729384501,0.45172536262832336,v3_sc0_staging_20
0.28864663561387544,0.3774214893127275,0.4020330170107948,v3_sc1_staging_00
0.11198147140728033,0.2851729066086749,0.23214159951118188,v3_sc1_staging_06
0.34108627578503053,0.5184653947405845,0.46257232732084796,v3_sc1_staging_12
0.23082178513365353,0.32880408306145253,0.39909997772599204,v3_sc1_staging_19
0.28334664539964033,0.383456269957887,0.4572461683323176,v3_sc1_staging_20
0.15874724107044902,0.3312178739261278,0.27696879184698026,v3_sc2_staging_00
0.28316839828445295,0.3183906607270014,0.4281546698598688,v3_sc2_staging_11
0.3220993616850623,0.5330455500347796,0.4410075525407858,v3_sc2_staging_13
0.29585579628568043,0.2967257568403872,0.4712733471292428,v3_sc2_staging_19
0.26905965363000467,0.32041026035536113,0.5042513859123531,v3_sc2_staging_20
0.24192042552920268,0.38033403473691485,0.41977419152575823,v3_sc3_staging_03
0.27971310521742876,0.3870398616114904,0.42496796596998143,v3_sc3_staging_04
0.30698666122668056,0.28073743064458884,0.46749821400044106,v3_sc3_staging_08
0.2918756396016692,0.5085765460347295,0.39731029852190014,v3_sc3_staging_15
0.17946489298060378,0.29482258530671046,0.33408739963708406,v3_sc3_staging_20
0.24657649580649937,0.37694513057714496,0.3928627542957193,overall_mean
0.15148135962304501,0.3642461358722242,0.2525315634344655,overall
