miou,fmiou,macc,scene
0.1296122878705778,0.19785114003947302,0.23747148108426594,00800-TEEsavR23oF
0.13304087112060106,0.36075938589449974,0.17834164651429124,00802-wcojb4TFT35
0.05738018500024115,0.1580473875655603,0.14894611261547483,00803-k1cupFYWXJ6
0.08185575082004953,0.22217359163592681,0.15619235765657935,00808-y9hTuugGdiq
0.10357352314993619,0.2701892399560262,0.15847436162373857,00810-CrMo8WxCyVb
0.09469216374010127,0.32351991874659947,0.16480427212251925,00813-svBbv1Pavdk
0.11347819795012026,0.2845311316540483,0.1863621610419293,00814-p53SfW6mjZe
0.07208255749449709,0.10566728914280099,0.14897771720741163,00815-h1zeeAwLh9Z
0.09821444214326554,0.24034238557936685,0.17244626373327626,overall_mean
0.12492207045267828,0.21653108766441548,0.24207675530491982,overall
